"GSM1570043";"GSM1570044";"GSM1570045";"GSM1570046";"GSM1570047";"GSM1570048";"GSM1570049";"GSM1570050";"GSM1570051";"GSM1570052";"GSM1570053";"GSM1570054"
"A1BG";5.084187137;5.352647413;5.346210077;5.430233848;4.956454427;5.47110461;5.423389712;5.370811676;5.389699004;5.137030488;5.482314915;5.5904009
"A1BG-AS1";6.863607302;6.819322008;7.042982245;7.240511265;6.917173155;7.086863062;7.416352812;6.914667768;7.316233297;6.923461769;7.40875112;6.827903806
"A1CF";4.933038406;5.190532564;4.959159433;4.860161252;4.751924399;4.971452989;4.929878541;5.137878208;5.167974031;4.752415502;4.873503692;4.862491168
"A2M";6.778452438;6.774715321;7.446837286;7.43317993;6.912307053;7.693452616;7.885498948;7.656422126;7.441953802;7.413562284;7.956522779;7.326423603
"A2M-AS1";4.731402274;5.027431448;7.492708592;6.547285774;6.105184968;8.543220948;7.802662928;7.199930584;7.228112675;7.563452514;8.684295873;6.406970381
"A2ML1";3.727863029;3.928134568;3.958703202;3.853147009;3.899407583;3.933711369;3.724185057;4.01001311;3.875754091;3.843414896;3.883715835;3.927925348
"A2MP1";5.148929774;5.022095448;7.266518688;7.074190398;6.019521119;8.506217474;7.547826765;7.633785751;7.167794951;7.598697154;7.870082419;6.171676866
"A4GALT";7.297125453;7.414684701;6.966292861;7.098775;6.758723999;6.762299188;6.909354364;6.958433875;7.009782532;6.671779241;7.078133936;6.927249164
"A4GNT";3.797872417;3.924123499;3.640855409;3.914706882;3.635331839;3.69205142;3.726903651;3.759149267;3.771513811;3.693994259;3.779208273;3.737957654
"AA06";5.368738632;5.491767508;5.217618296;5.220630424;4.942217117;5.022002389;5.018332434;5.232994335;5.249952241;5.113788557;5.203139191;5.303512288
"AAAS";8.961927537;8.907604968;8.363493623;8.310494075;7.917015142;8.017149891;8.28421722;8.507549065;8.031501771;7.842856047;8.258830303;8.31535893
"AACS";7.153055119;7.521518276;6.962194827;6.934242413;6.976327214;6.963945596;6.802233025;7.017791374;6.67042078;7.07769093;6.365174816;6.779623303
"AACSP1";7.0206764;6.454798609;5.620000677;5.982525034;6.023541066;6.39220225;5.822535659;5.78027072;5.916409205;6.122918736;6.055689037;6.082900063
"AADAC";5.460403261;5.269809249;4.18794296;4.525648408;4.29162319;3.869743833;4.420698201;4.189356172;4.29162319;4.285792382;3.931263864;4.394135612
"AADACL2";2.974243494;3.033006803;2.862129009;2.815580924;2.950354868;3.053532813;2.932020205;3.033977523;2.92204332;2.961638204;2.855649164;3.025721925
"AADACP1";6.685315263;6.135963659;4.379801137;3.994863689;4.686675082;3.966489191;3.446120533;4.758770234;3.798540473;4.443536035;3.822176008;4.374710462
"AADAT";8.885981246;8.802574287;6.991115336;6.947894538;7.65242662;6.941146132;7.182918331;7.05749594;7.306084361;6.680932746;6.745301565;7.299076816
"AAED1";8.245241686;7.651343216;7.861949859;7.539917859;7.186506484;6.845990073;7.635940936;7.437024194;7.240629677;7.295152699;7.093153957;7.842018651
"AAGAB";8.681955948;8.057198519;7.677220037;7.780544826;8.084318575;8.055153667;7.818891396;7.792912477;7.690312767;7.652342927;7.801094446;7.780699165
"AAK1";9.410530957;9.558954098;10.61167864;10.1349861;9.645726062;11.13308156;10.5225735;10.47461598;10.0010446;10.64756715;10.91227159;9.791599152
"AAMDC";9.45895643;9.491472681;9.231631607;9.195864054;9.286841206;8.988031777;9.181371812;9.236520735;9.122104682;9.419815519;9.006321027;9.423486315
"AAMP";8.682772949;8.691995453;8.151651492;8.122332499;7.918412534;7.984728154;8.204741531;8.240052708;8.081571792;7.921950951;8.078282972;8.274592788
"AANAT";4.472778211;4.88524093;4.365410888;4.113042018;3.88601055;4.255170543;4.082975518;4.113042018;4.298673761;4.146356606;4.320051647;4.087872582
"AAR2";7.565061702;7.478401764;7.207605842;7.030475287;7.094551242;6.829142058;6.686351181;7.287561551;6.851464063;7.192075252;6.964884111;7.09216745
"AARS";11.26381137;11.09908572;10.29138207;10.35864181;10.02471447;10.0587989;10.03430293;10.23914994;10.14126812;9.978556786;10.10630374;10.02559215
"AARS2";9.084011056;8.733707569;8.572860913;8.835164456;8.515853226;9.034673024;8.612343341;9.006241665;8.616553256;8.674485699;8.709500473;8.444480238
"AARSD1 /// PTGES3L /// PTGES3L-AARSD1";8.65417373;8.509371078;7.674457472;7.539282644;7.72553723;7.717181304;7.447430807;7.708193328;7.733038618;7.69799584;7.469357774;7.769795588
"AASDH";8.340262499;8.679085999;8.239673929;8.04462715;7.794370489;7.840235672;8.254812345;8.165733026;7.794370489;7.995740739;7.976868837;7.968687051
"AASDHPPT";10.37702592;10.48612885;9.701444545;9.697631298;9.770125318;9.632146407;9.395889253;9.977452926;9.589409366;9.836504164;9.640094366;9.623607583
"AASS";6.841774706;6.70484755;5.549242389;5.833746898;5.549242389;5.339322436;5.511257692;5.552381605;5.526832829;4.911252023;5.42338912;5.972834209
"AATF";10.09500691;9.912578636;9.558956375;9.475243663;9.157626143;9.257672175;9.490944642;9.454822939;9.306716906;8.970148154;9.309946312;9.437256521
"AATK";6.952899306;7.053831994;6.762325653;6.810152828;7.710035676;7.237471401;7.001476309;7.053802469;7.188929549;7.761316408;6.726891343;6.881575745
"AB074162 /// MIR181A2HG";6.795751184;6.319067517;6.516884662;6.012839461;8.73024706;7.409575878;6.624797263;6.574615056;7.513072579;8.49361448;6.049952307;6.321311623
"AB488780";7.577718972;8.001382885;7.434263421;7.441109076;7.035682934;8.163176795;7.746839059;7.283469881;7.398954262;7.396044796;7.86705614;7.269390504
"ABAT";6.555174255;6.592312842;7.323238029;6.81086975;8.169959724;7.329843451;7.404612162;7.457052905;7.516658091;7.697691578;7.244324662;7.648781832
"ABCA1";4.599418321;4.339453864;7.314811321;7.895329587;9.639727066;8.403366615;8.319088979;8.068325981;8.912345851;9.639882846;7.170301831;8.237207878
"ABCA11P";6.814658305;6.882985052;5.7021982;5.557331542;5.480432026;5.84131281;5.262157664;5.401748748;5.837789446;5.757230196;5.649118214;5.860203162
"ABCA12";4.254693688;3.897062475;3.912020928;3.883232649;4.200961345;3.893755435;3.766466439;3.912542967;3.998732294;3.846332871;3.945549149;3.941173733
"ABCA13";3.545385627;3.365337383;3.395183569;3.319554525;3.447151095;3.370391887;3.351589002;3.231046785;3.305956809;3.301682152;3.213427352;3.409832166
"ABCA17P";4.648573456;4.956716136;4.948424457;4.710784452;4.664312283;4.868734554;4.929505404;4.767902721;4.863502237;5.422952509;5.830848999;4.247704674
"ABCA2";6.780694519;6.746457401;6.609559751;6.958340786;6.166137535;6.285433087;6.701680862;6.700902516;6.595630011;6.01856559;6.53645016;6.486770908
"ABCA3";6.701900389;6.814262791;6.800981294;6.845028785;6.561550997;6.65083685;6.627330461;6.689150153;6.604189364;6.768884187;6.720385507;6.700961583
"ABCA4";5.101320881;5.642769081;5.164693675;5.297529147;5.063025228;5.148739249;5.182859193;5.123809381;5.126038397;5.182859193;5.269003596;5.275547978
"ABCA5";6.940702029;6.662907213;7.63653588;6.793582891;7.249418541;8.082931222;7.239282432;7.343149136;7.530780294;7.706649987;7.481067237;6.626507404
"ABCA6";4.153836905;3.997105292;3.992111438;3.630912297;3.777151821;3.609212041;4.029417283;4.255370395;3.690142602;3.788052606;3.936583707;4.045779977
"ABCA7";8.237529107;8.348656279;7.79291412;7.871438665;8.460950907;8.325544009;7.990971389;7.975039637;8.291720797;8.360146123;7.988211293;7.922019692
"ABCA8";5.677593614;5.519188822;5.399010745;5.594979125;5.637025492;5.825292683;5.561889234;5.379142664;5.602261871;5.667929334;5.711519961;5.251729227
"ABCA9";4.180967544;4.265519406;4.681195314;4.633361865;4.833393228;4.809360364;4.639533073;4.690174031;4.473951376;4.51073641;4.474170613;4.653419823
"ABCB1";5.718345682;5.169974425;8.186371011;7.337951169;6.472186303;6.07229935;5.586511508;7.894916628;5.523960898;6.677341988;6.70838373;6.901734863
"ABCB1 /// ABCB4";5.941248541;5.966567256;8.106541391;7.96089131;7.441878224;7.13009444;6.487506204;7.940312163;7.929375471;6.769488249;7.227953898;7.25866842
"ABCB10";9.088389562;8.97313286;8.722710513;8.310072271;8.453197034;8.467880022;8.672884213;8.546715369;8.365222948;8.734710323;8.404020464;8.711410063
"ABCB11";4.41515627;4.555058282;4.43389244;4.497953514;4.448403761;4.324033016;4.486962246;4.560062514;4.5899087;4.668675107;4.383586688;4.319864464
"ABCB4";5.717042154;5.36055002;5.603277585;7.404136495;7.149840801;6.391185132;6.124583476;6.998345378;7.994227855;5.848627934;6.562258087;6.349810254
"ABCB5";5.748849896;5.396999897;4.85933207;5.153471116;5.241710785;5.250782991;5.198344309;5.212661463;5.122816384;5.068146668;4.612738627;5.079279992
"ABCB6";8.505233041;8.463180665;7.44848871;7.650633274;7.564781465;7.63652924;7.27546689;7.536156037;7.41296311;7.499667206;7.318836146;7.397646243
"ABCB7";9.169698752;9.03468822;8.93481402;8.780699362;8.963062583;8.676029512;9.141058772;8.700006263;8.78113382;8.833391448;8.971697964;9.157371267
"ABCB8";6.350809019;6.834752843;5.975330628;5.785653595;6.145452789;6.425839326;6.19073138;5.80023089;5.832051662;5.937819729;6.049952307;5.665830767
"ABCB8 /// ASIC3";5.527665176;5.821720653;5.53476187;4.877920646;4.954687023;5.667820606;5.334686183;5.203778285;5.069993557;5.227350668;5.645708984;5.189512409
"ABCB9";6.939310681;6.683384512;5.989096798;6.356990412;6.548112487;6.001945835;6.118336211;5.797268008;6.300966882;6.192711643;6.170184093;6.006744226
"ABCC1";10.63112184;10.62256266;10.40855527;10.49933887;10.55179141;10.71020976;10.53952759;10.23874491;10.54288396;10.68035739;10.53844322;10.33688185
"ABCC10";8.173864736;8.279136038;8.246844202;7.3516087;8.214186085;8.00058767;7.883122049;7.827209868;7.573931531;8.243613476;8.115406839;8.041449644
"ABCC11";4.416879306;4.143547315;4.537210399;4.83284361;4.308137157;4.590756853;4.639848889;4.535112291;4.650690641;4.943056811;4.51073641;4.504983108
"ABCC12";4.254978421;4.305220113;4.273178166;4.224402572;4.230441173;4.311668819;4.330690975;4.225647414;4.24681606;4.225500914;4.307367764;4.321924853
"ABCC13";4.466677424;4.852044645;4.570945778;4.525916717;4.562967254;4.589636539;4.616101813;4.51073641;4.5044549;4.733173429;4.498150181;4.553443171
"ABCC2";9.254866843;9.162499205;7.831515001;8.039760575;8.038787965;7.799777681;7.719085503;7.906782332;7.977572259;7.704653936;7.705609454;8.032280267
"ABCC3";8.531794489;8.453739058;7.780191077;7.718095449;7.786321159;7.320255818;7.923055174;7.306648727;7.226961902;7.404079634;7.45819359;8.133599116
"ABCC4";9.630487168;9.745037084;8.464446152;8.453458219;8.965929851;8.621678596;8.337828066;8.471082485;8.385169424;8.866528337;8.315257359;8.504763807
"ABCC5";7.782921298;7.708891539;8.205569517;7.828471979;8.116018817;8.278026039;8.151408383;8.030075515;8.141124766;8.456671859;8.040495491;8.193613275
"ABCC6 /// ABCC6P1 /// ABCC6P2 /// LOC101930322";5.969524939;5.677593614;4.92261763;4.402161579;5.442349963;4.363054828;5.090378846;4.444182023;4.402116667;5.863802398;4.051953834;5.2625108
"ABCC6 /// LOC101930322";6.027577508;6.286646613;6.134552531;6.087334868;5.966997571;5.900266268;6.142555141;5.972357235;6.190906198;6.17399562;6.354122428;6.312765194
"ABCC6P1";3.881767443;3.868173452;3.669843428;3.926151955;3.727641582;3.628433978;3.80941968;3.662048056;3.743091915;3.781999073;3.698221432;3.5935277
"ABCC8";6.973043346;7.261831371;7.032502962;6.985145957;6.89631968;7.017448418;7.158903943;6.906765813;7.120195185;6.979951648;7.188548129;6.966217608
"ABCC9";5.537609314;5.451168431;5.32464617;5.527470177;5.586387775;5.464168844;5.340481578;5.393631711;5.489507828;5.734164922;5.389866404;5.526450137
"ABCD1";6.85010237;7.261697675;7.142640341;7.027906113;6.988164504;6.884354493;7.163671857;6.700242755;6.972844687;6.969471372;6.989746745;7.01712132
"ABCD1P2 /// ABCD1P2";5.284942761;5.093094021;5.077329777;5.088219123;5.110580573;5.015756936;5.198813349;5.097670429;5.019169737;5.125640756;5.055221377;5.122970834
"ABCD2";3.690922798;3.810077728;3.867365346;4.179665497;3.839886017;5.091670648;4.389525455;4.08491525;3.804561275;4.426827158;5.648426855;3.724633653
"ABCD3";10.24480334;10.52207817;9.618950126;9.650220924;9.712235155;9.528557367;9.428670323;9.504524394;9.431209838;9.860968034;9.613858605;9.566984569
"ABCD4";8.05011867;8.089474489;8.112552826;7.900327853;8.07155641;8.199050217;7.76243298;7.767778316;8.029488895;7.877242698;8.161985449;7.713930951
"ABCE1";11.62567851;11.6648472;10.77162835;10.87046313;10.47189203;10.62576764;10.61766428;10.7894507;10.68547323;10.50510362;10.89174894;10.73779418
"ABCF1";10.05212253;9.935481809;9.985355755;9.661242256;9.273150801;9.320509235;9.494097312;9.810686793;9.435227592;9.107570993;9.722459026;9.716791273
"ABCF2";11.12015453;11.05864525;10.33714136;10.45792003;9.432117173;9.369497491;9.998597156;10.20045438;10.01446579;9.024231967;10.23575283;10.3374005
"ABCF3";8.037090121;7.757272089;7.378981605;7.502755806;6.915777281;7.333685714;7.584114549;7.463119386;7.62558811;7.146891476;7.536154227;7.683258174
